Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-FG-8187-01	TCGA-P5-A72X-01	TCGA-CS-4938-01	TCGA-S9-A6U8-01	TCGA-E1-A7Z6-01	TCGA-HT-7680-01	TCGA-S9-A7R3-01	TCGA-HT-8108-01	TCGA-HT-7473-01	TCGA-TQ-A7RP-01	TCGA-E1-A7Z4-01	TCGA-DB-A4X9-01	TCGA-HT-7611-01	TCGA-DU-8161-01	TCGA-RY-A845-01	TCGA-E1-A7YD-01	TCGA-DB-A64O-01	TCGA-TM-A84T-01	TCGA-HT-7479-01	TCGA-E1-A7YM-01	TCGA-FG-6691-01	TCGA-TQ-A7RJ-01	TCGA-HW-7493-01	TCGA-DU-5853-01	TCGA-DB-A64X-01	TCGA-DB-5280-01	TCGA-S9-A6U9-01	TCGA-HT-7485-01	TCGA-DU-A76K-01	TCGA-P5-A5EV-01	TCGA-DU-8165-01	TCGA-QH-A870-01	TCGA-P5-A5EW-01	TCGA-HT-A74J-01	TCGA-HT-7854-01	TCGA-FG-A70Y-01	TCGA-FG-A60J-01	TCGA-DU-A7TI-01	TCGA-VM-A8C8-01	TCGA-DB-A4XC-01	TCGA-P5-A5F2-01	TCGA-S9-A6WG-01	TCGA-HT-7608-01	TCGA-QH-A6CS-01	TCGA-HT-A5R5-01	TCGA-DH-5143-01	TCGA-TQ-A7RV-01	TCGA-FG-A711-01	TCGA-CS-5395-01	TCGA-E1-A7Z2-01	TCGA-WH-A86K-01	TCGA-06-5859-01	TCGA-06-1804-01	
Amplification Peak  3 - CN values	1q32.1  	chr1:204301560-204347299(probes 102598:102645)    	chr1:204302424-204345090(probes 102599:102644)    	chr1:203671638-204663034(probes 102211:102911)    	0.003529	 0.018687		Actual Copy Change Given	0.064225	0.0046694	0.0032597	0	0.004719	-0.00024899	-0.00089481	0.0054139	-0.00097017	0.0033299	-0.048613	0.0036076	-0.0024559	0.010424	-0.0013144	3.6569	0.0036076	-0.16017	0.0028848	0.0049969	-0.0070529	0.0034687	0.00458	-0.0081624	0.00055459	0	-0.0032304	0.024689	0.029039	0.011958	0.6328	0.0016642	0	0.0012856	-0.00013342	0.005076	0	0	0.0072217	0.0045196	0.0021286	0.00457	0.056085	0.00597	0.0033299	0.0048579	0.0022193	0.0036076	3.6569	0.0025022	0.33307	0.0026558	0.82457	
Amplification Peak  4 - CN values	1q32.2  	chr1:209740129-210100540(probes 106381:106615)    	chr1:209740894-210100472(probes 106382:106614)    	chr1:209740894-210106181(probes 106382:106617)    	0.15524	  0.15524		Actual Copy Change Given	0.0076392	0.0046694	0.0032597	0	0.004719	-0.00024899	-0.00089481	0.0054139	-0.00097017	0.0033299	-0.048613	0.0036076	-0.0024559	0.004719	-0.0013144	0.56116	0.0036076	-0.16064	0.0028848	0.0049969	-0.0070529	0.0034687	0.00458	-0.0081624	0.00055459	0	-0.0032304	0.024689	-0.52767	0.019223	0.6328	0.0016642	0	0.0012856	-0.00013342	0.005076	0	0	0.0072217	0.0045196	0.0021286	0.00457	0.0043021	0.00597	0.0033299	0.0048579	0.0022193	0.0036076	3.6569	0.0025022	0.33307	0.0026558	0.00018261	
Amplification Peak  5 - CN values	1q42.13 	chr1:226270335-227837174(probes 117148:118150)    	chr1:226270473-227835923(probes 117149:118149)    	chr1:226270473-227842226(probes 117149:118152)    	0.15524	  0.15524		Actual Copy Change Given	0.0076392	0.0046694	0.0032597	0	0.004719	-0.00024899	-0.00089481	0.0063871	-0.024251	0.0033299	-0.048613	0.0036076	-0.0061549	0.004719	-0.0013144	0.56116	0.0036076	-0.1612	0.0028848	0.0049969	-0.0070529	0.0034687	0.00458	-0.0081624	0.00055459	0	-0.0032304	-0.79782	-0.53044	-0.027808	0.6328	0.0016642	0	0.0012856	-0.00013342	0.005076	0	0	0.0072217	0.0045196	0.0021286	-0.0085865	0.0043021	0.00597	-0.0056474	0.0048579	0.0022193	-0.0022168	3.6569	0.0025022	0.33307	0.0048579	0.0010698	
Amplification Peak  6 - CN values	2p24.3  	chr2:1-20349790(probes 131063:144291)                 	chr2:14337881-16397682(probes 139971:141387)        	chr2:13198042-16403370(probes 139325:141390)        	0.15524	  0.15524		Actual Copy Change Given	-0.00027724	0.0034687	0.0029562	0.0024969	0.012376	-0.0020873	0	0.012934	-0.023155	0	-0.1499	0.00041593	-0.0022128	-0.0066432	-0.0004389	0.26608	-0.0008316	0.0037465	-0.012466	-0.0030475	0	0	0	0.0023581	0.031577	-0.016017	0	0.0065262	0	-0.0037395	0.2032	-0.013953	0.0097276	0.070099	-0.0020732	0.0043812	0.0038655	-0.080541	-0.36442	0.0025753	0.93467	0.0065162	0.0054139	-0.0011087	0.80769	-0.007472	-0.089831	1.2823	0.086377	-0.00052858	0.019363	-0.0016629	-0.021457	
Amplification Peak  7 - CN values	3q27.1  	chr3:183409001-185104905(probes 365093:365509)    	chr3:184179381-185104270(probes 365094:365508)    	chr3:184179381-185110054(probes 365094:365511)    	0.17938	  0.17938		Actual Copy Change Given	0	0.0070826	0.0013644	0.0025725	0.0052749	-0.0038878	0.010918	0.0024969	-0.01631	-0.0029091	0.0095883	-0.0015243	0.0037506	0.0028204	-0.0041546	0.52066	0.0069435	0.00458	0.0044125	-0.0024938	-0.00069303	-0.024346	0	0.0037465	-0.042924	0.017963	0.0019418	-0.0055408	0.0044411	0.074121	0.15188	0.090575	-0.00027724	-0.0016629	-0.0035097	0.0024371	0.023125	0.0114	0.46724	0.0092492	0.019083	-0.0026422	-0.0087146	-0.00027724	0	0.0011093	0.025812	-0.0022168	0.8204	0.0083404	-0.032178	0.027216	0.8109	
Amplification Peak  8 - CN values	4q26    	chr4:119447572-119590796(probes 439890:439976)    	chr4:119450119-119590250(probes 439891:439975)    	chr4:119450119-119596335(probes 439891:439978)    	0.2187	   0.2187		Actual Copy Change Given	-0.045014	-0.093271	-0.0040385	-0.0047079	-0.019948	-0.0020873	0.0034642	0	-0.013302	-0.0018014	0.02806	-0.0094046	0.0072258	-0.0024938	-0.059942	0.37971	-0.00027724	-0.20237	-0.020852	0	-0.011335	-0.034904	-0.13104	-0.31622	-0.039394	0.0030522	-0.012162	0.028341	0.0038475	-0.15195	-0.1935	-0.0010681	-0.012989	2.3253	-0.0013806	-0.012635	-0.17501	-0.005261	0.030732	-0.015237	0	0.0030422	-0.013402	0	-0.034237	-0.0018014	-0.046718	-0.021236	0.00027728	0.020488	-0.21354	-0.5356	-0.023113	
Amplification Peak  9 - CN values	7p11.2  	chr7:54605598-55771942(probes 709830:710723)        	chr7:54605880-55765380(probes 709831:710722)        	chr7:54605880-55778820(probes 709831:710725)        	0.17837	  0.17837		Actual Copy Change Given	0.0052749	0.0033299	-0.00071538	-0.0038779	-0.00041585	-0.0026966	0.00855	-0.026441	0.7035	0.25374	0	0.86731	0	0.55957	0.72395	3.6569	0.52503	0.0027745	0.034648	0.5029	0.68812	0.12299	0.047101	0.014888	0.11726	0.060079	-0.0088888	0.0052749	0.50047	0.058937	0.39845	-0.0084385	-0.0029091	0.77984	-0.00096497	-0.0097958	0.055637	0.0036371	0.0073609	-0.0033845	-0.022332	-0.015339	0	0.34404	0.3626	0.0075	0.010982	0.0034687	0.81291	1.3612	0.033972	0.77022	0.90801	
Amplification Peak 10 - CN values	7q22.3  	chr7:104823425-104993660(probes 730737:730832)    	chr7:104823443-104993426(probes 730738:730831)    	chr7:104823443-104993940(probes 730738:730834)    	0.16763	  0.16763		Actual Copy Change Given	0.0073609	0.0033299	0.48111	0.03214	-0.00041585	0.00026838	0.0043777	0.7891	0.7035	0.25374	0.025671	0.86731	0.0038895	0.55957	0.72395	1.0472	0.44647	0.0027745	0.034648	0.49924	0.68812	0.19878	0.081177	0.053161	0.26875	0.026373	0.021603	0.0052749	0.50047	0.80733	0.39195	0.86255	-0.0029091	0.77984	-0.00096497	0.016505	0.022564	0.0036371	0.062228	0.062589	0.017951	0.0065162	0.0016642	0.34404	0.84376	0.087245	0.07053	1.3106	0.80772	0.6956	1.3814	0.76926	0.86718	
Amplification Peak 11 - CN values	7q36.2  	chr7:123426178-159345973(probes 740800:759871)    	chr7:154407058-154612479(probes 757278:757444)    	chr7:154407058-154872799(probes 757278:757669)    	0.17938	  0.17938		Actual Copy Change Given	0.012237	0.0033299	-0.062248	0.0026357	0.68775	0.00026838	0.0043777	0.7891	0.7035	0.25683	0.025671	0.86731	0.0038895	0.55957	0.72886	1.0249	0.53555	-0.0045695	0.034648	0.51438	0.6954	0.11565	0.045141	0.084932	0.37578	0.026373	0.021603	0.0052749	0.50047	1.5401	0.41965	0.79026	-0.0029091	0.77984	-0.00096497	-0.016213	0.022564	0.39031	0.032845	-0.016901	0.017951	-0.0078759	0.0016642	0.34404	0.87847	0.09217	0.09072	0.67159	0.79374	0.6642	-0.0019399	0.82236	0.9076	
Amplification Peak 12 - CN values	8q23.2  	chr8:109501516-109527685(probes 821232:821251)    	chr8:109501810-109527568(probes 821233:821250)    	chr8:105160276-109595497(probes 819008:821287)    	0.15524	  0.15524		Actual Copy Change Given	-0.012438	0.00069327	-0.0028741	0.0037465	0.050392	0.0034598	-0.0044718	0.03031	0.73796	-0.0022168	0.0081959	-0.011473	0.0095924	0	-0.0096806	-0.12577	-0.0085766	0.75932	0.52272	-0.0036011	0.70551	0.1006	0.020623	0.0043021	0.78929	0.004719	0.017544	0.0020805	-0.0011087	0	-0.12056	0.0029133	0.0014367	0.74994	0.011824	1.3295	0.039599	0.62406	0.82529	0.0073004	0.46519	0.0010994	-0.010508	-0.00027724	0.014749	0.14965	1.7698	-0.0012473	-0.0066432	-0.0019346	0.0075	-0.0013858	-0.00092839	
Amplification Peak 13 - CN values	8q24.13 	chr8:117740233-135019596(probes 825730:838098)    	chr8:122831724-123854245(probes 829232:829893)    	chr8:114987123-137290229(probes 823999:839580)    	0.15524	  0.15524		Actual Copy Change Given	0.012237	0.00069327	-0.00016098	0.0037465	0.050392	0.0034598	-0.0044718	0.03031	0.71716	-0.0022168	0.0081959	-0.017254	0.0095924	0	-0.0096806	0.49044	0.0093098	0.74005	0.52272	-0.0036011	0.5539	0.1006	0.020623	0.0076392	1.8448	0.004719	0.017544	0.0020805	-0.0011087	0.0114	-0.12056	0.0029133	0.0014367	0.74994	0.011824	1.9167	-0.015761	0.62406	0.42419	0.0073004	0.53309	0.82136	-0.010508	-0.00027724	0.026935	0.24544	0.72622	0.083487	-0.0066432	-0.0019346	0.0075	-0.0013858	-0.00092839	
Amplification Peak 14 - CN values	11q24.2 	chr11:124378594-124401846(probes 1065781:1065802)	chr11:124378725-124399691(probes 1065782:1065801)	chr11:124378725-124402484(probes 1065782:1065804)	0.15524	  0.15524		Actual Copy Change Given	0.023145	0.015727	-0.0004382	0.051672	0.038489	0.0074911	0.00090737	0.0095883	0.018803	0.00041593	-0.072007	0.86533	0.0041673	0.00069327	0.20748	-0.0022168	0.016845	0.0027745	0.0017745	0.0076392	0.001803	0.13036	0.0077783	0.39031	0.047978	0.0063871	0.035711	-0.0013786	0.0056919	0.065799	-0.43843	0.066515	0.01447	0.0016642	-0.00027204	0.00021756	0.018503	0.16295	0.37068	1.9497	0.0098669	0.050098	0.001803	0.017544	0.09072	0.13791	0.6997	0.033408	-0.0067813	-0.011071	0.038206	0.0055529	0.016188	
Amplification Peak 15 - CN values	12p13.32	chr12:2063126-5342964(probes 1072927:1075356)        	chr12:5249752-5314011(probes 1075281:1075336)        	chr12:1-7122728(probes 1072536:1076462)               	0.15524	  0.15524		Actual Copy Change Given	0.033549	-0.0015243	0.067208	-0.00013862	0.092605	-0.0019488	0.0081324	-0.026608	0.51996	-0.0023553	0.012376	0.00013863	0.0044451	0.0091705	0.018243	-0.012438	0.011818	-0.0081432	0.053635	0.013492	0.83746	0.0065262	0.0016642	0.0070826	0.04429	0.0015255	0.01433	-0.0062286	-0.0041546	0.068235	0.74233	0.020063	0.00069327	0.027216	0.001947	-0.0051823	0.0065063	2.4113	0.010285	0.73011	-0.0063668	0.00026729	0.013632	0.006109	-0.00041585	0.0065262	0	0.12564	-0.015191	0.0065315	0.0086135	0.60016	0.015629	
Amplification Peak 16 - CN values	12p12.1 	chr12:21496606-21557219(probes 1084648:1084697)    	chr12:21496663-21556684(probes 1084649:1084696)    	chr12:21496663-21563921(probes 1084649:1084699)    	0.20247	  0.20247		Actual Copy Change Given	-0.0034627	-0.0015243	0.067208	-0.00013862	-0.0016629	-0.0019488	0.0081324	-0.026608	0.51996	-0.0023553	0.012376	0.00013863	0.0044451	0.0091705	0.018243	-0.012438	0.011818	-0.0059522	0.049653	0.0017349	-0.0027707	0.0065262	0.0016642	0.0070826	-0.01904	0.0015255	0.0024969	-0.027945	-0.0041546	0.02539	0.74929	-0.017391	0.00069327	0	0.001947	-0.0051823	0.0065063	1.0642	0.010285	1.4585	-0.0063668	0.00026729	0.013632	0.006109	-0.00041585	0.0065262	0	0.11169	0.00097064	0.0065315	0.0086135	-0.78572	0.0032329	
Amplification Peak 17 - CN values	12q13.3 	chr12:57402326-57797224(probes 1102496:1102683)    	chr12:57406899-57796938(probes 1102497:1102682)    	chr12:57363192-57981162(probes 1102478:1102776)    	0.0098444	  0.10304		Actual Copy Change Given	0.045282	-0.24715	0.0012257	-0.010132	-0.0016629	-0.0019488	-0.017042	-0.21997	-0.0067813	-0.0023553	-0.37414	0.00013863	-0.028897	0.0091705	-0.13031	3.6569	0.0058297	-0.0059522	-0.024553	0.0017349	-0.0041546	-0.011611	-0.086651	-0.13199	-0.049154	0.0015255	-0.025313	-0.027945	-0.0041546	0.061365	0.161	0.016425	-0.31832	0	0.00034675	-0.002138	0.0065063	0.016425	-0.40351	-0.022255	-0.031185	0.00026729	0.046559	0.0062481	-0.00041585	-0.043873	0	0	-0.051991	0.0065315	-0.3326	2.508	-0.0027172	
Amplification Peak 18 - CN values	12q14.1 	chr12:57889603-57908474(probes 1102729:1102739)    	chr12:57890773-57907363(probes 1102730:1102738)    	chr12:57363192-57981162(probes 1102478:1102776)    	0.0098444	  0.10304		Actual Copy Change Given	0.045282	-0.24715	0.0012257	-0.010132	-0.0016629	-0.0019488	-0.017042	-0.21997	-0.0067813	-0.0023553	-0.37414	0.00013863	-0.028897	0.0091705	-0.13031	3.6569	0.0058297	-0.0059522	-0.024553	0.0017349	-0.0041546	-0.011611	-0.086651	-0.13199	-0.049154	0.0015255	-0.025313	-0.027945	-0.0041546	0.061365	0.161	0.016425	-0.31832	0	0.00034675	-0.002138	0.0065063	0.016425	-0.40351	-0.022255	-0.031185	0.00026729	0.046559	0.0062481	-0.00041585	-0.043873	0	0	0	0.0065315	-0.3326	2.508	-0.0027172	
Amplification Peak 19 - CN values	12q24.31	chr12:122844948-122913906(probes 1142955:1142985)	chr12:122852834-122912593(probes 1142956:1142984)	chr12:122852834-122918189(probes 1142956:1142987)	0.17837	  0.17837		Actual Copy Change Given	0.032422	0.044715	0	-0.0029091	-0.0016629	-0.0019488	-0.017042	-0.06786	-0.0067813	-0.0023553	-0.37414	0.00013863	-0.76252	0.0091705	-0.13031	0.95939	0.010424	-0.0059522	-0.024553	0.013966	0.014051	-0.011611	-0.058058	-0.13199	-0.042517	0.0015255	-0.012024	0.0066653	-0.0041546	0.00458	0.15977	0.64965	-0.32147	0.039337	0.00034675	-0.0025534	-0.044299	0.14266	-0.42396	-0.036765	-0.031185	-0.00037524	0.10439	0.0062481	0.13643	-0.0088526	0	0	-0.07067	0.0065315	-0.33909	0.011121	0.73214	
Deletion Peak  1 - CN values	1p36.23 	chr1:7769227-9237612(probes 2932:3721)                	chr1:8007369-8435458(probes 3083:3293)                	chr1:5145329-12588853(probes 1323:5320)              	0.00015314	 0.00015314		Actual Copy Change Given	-0.65165	-0.0093349	0.0033075	-0.020549	0.0031418	0.00082305	-0.01698	0.0013868	0.022024	-0.0037347	-0.028218	0.0036076	0.0043062	-0.55146	0.012934	0.56365	-1.0943	-0.0012348	0.023678	-0.99562	0.026628	0.0034687	-0.0034864	-0.0033243	-0.0081624	-0.026167	0.018523	-0.0053992	-0.55777	0.029044	0.46639	-0.044957	0	0.023286	-0.00013342	0	-0.035604	0	0.0072217	-0.0054594	-0.045228	-0.011345	-0.75245	0.00597	0.0033299	0.0048579	0.0022193	0.0036076	-0.065845	-0.7179	0.010842	-0.87666	-0.83201	
Deletion Peak  2 - CN values	1p32.3  	chr1:46169478-64746364(probes 23268:35213)          	chr1:50956568-50976325(probes 25810:25814)          	chr1:50915189-50999980(probes 25792:25824)          	0.20455	    0.20455		Actual Copy Change Given	-0.65267	-0.0093349	0.0033075	-0.022578	0.0031418	0.00082305	-0.015758	0.0013868	0.022024	0.0033299	-0.028218	0.0036076	-0.00040341	-0.44814	-0.0013144	-0.55927	-0.46344	-0.0012348	0.023678	0.0049969	-0.0027707	0.0034687	0.0063871	-0.0033243	0.031859	0	0.018523	-0.0053992	-0.53185	0.011958	0.61952	0.0016642	0	-0.0019399	-0.00013342	0	0.0067845	0	0.0072217	-0.0054594	0.0077783	0.00457	-0.75883	0.00597	0.0033299	0.0048579	0.0022193	0.0036076	-0.12655	0.0048632	0.010842	-0.0020784	0.02993	
Deletion Peak  3 - CN values	1q42.12 	chr1:204503152-240615466(probes 102761:127202)    	chr1:223533593-228748657(probes 115684:118417)    	chr1:222300342-226095464(probes 114992:117073)    	0.12506	    0.12506		Actual Copy Change Given	0.0076392	0.0046694	0.0032597	0	0.004719	-0.00024899	-0.00089481	0.0063871	-0.024251	0.0033299	-0.048613	0.0036076	-0.0061549	0.004719	-0.0013144	0.56116	0.0036076	-0.1612	0.0028848	0.0049969	-0.0070529	0.0034687	0.00458	-0.0081624	0.00055459	0	-0.0032304	-0.79782	-0.53044	-0.027808	0.6328	0.0016642	0	0.0012856	-0.00013342	0.005076	0	0	0.0072217	0.0045196	0.0021286	-0.0085865	0.0043021	0.00597	0.0033299	0.0048579	0.0022193	-0.0022168	-0.82277	0.0025022	0.33307	0.0048579	0.0010698	
Deletion Peak  4 - CN values	1q44    	chr1:227939527-248956422(probes 118215:131062)    	chr1:244840545-248956422(probes 129806:131062)    	chr1:244850506-248956422(probes 129808:131062)    	0.16533	    0.20455		Actual Copy Change Given	0.0076392	0.0046694	0.0032597	0	0.004719	-0.00024899	-0.00089481	0.015028	0.006109	0.0033299	-0.048613	0.0036076	-0.0061549	-0.48165	-0.0013144	0.56116	0.0034687	-0.1612	0.0028848	0.0049969	-0.0070529	0.0034687	0.00458	-0.0081624	0.00055459	-0.038442	-0.55196	-0.80617	0.040044	-0.050911	0.6328	0.0016642	-0.17373	0.0012856	-0.00013342	0.005076	0.028321	0	0.0072217	0.0045196	0.0021286	-0.0085865	0.0043021	0.00055459	0.0037465	0.0048579	0.0022193	-0.0022168	-0.0076101	0.0025022	0.34762	0.0048579	0.0051778	
Deletion Peak  5 - CN values	2q36.3  	chr2:1-242193529(probes 131063:264535)               	chr2:229710779-230033261(probes 257693:257694)    	chr2:229234053-230181721(probes 257331:257789)    	0.039307	    0.23308		Actual Copy Change Given	0.0114	0.0034687	-0.016314	0.0024969	-0.012442	-0.0058228	0.0020861	-0.019726	0.00047374	0	0.0077783	0.00041593	-0.0022128	-0.0066432	-0.14952	0.40661	-0.0008316	0.0037465	-0.02353	-0.0030475	0	0	-0.29213	-0.0076339	0.027638	0.027638	0	-0.041702	0	0.0027745	0.20152	0.0068044	-0.86578	-0.0076101	-0.0020732	0.0043812	-0.017136	-0.38347	-0.022195	0	0.016705	-0.54271	0.012237	-0.0011087	-0.010232	-0.013051	0.016146	-0.0048461	0.069669	0.025957	-0.0076101	0.0020805	-0.035816	
Deletion Peak  6 - CN values	2q37.1  	chr2:231711722-242193529(probes 258544:264535)    	chr2:233249711-233349893(probes 259289:259362)    	chr2:230271576-242193529(probes 257858:264535)    	0.0031666	   0.080421		Actual Copy Change Given	0.0114	0.0034687	-0.016314	0.0024969	-0.012442	-0.0058228	0.0020861	-0.019726	-0.77956	0	-0.031768	0.00041593	-0.0022128	0.51107	-0.14952	0.40661	-0.0008316	0.0037465	-0.02353	-0.0030475	0	0	-0.29213	-0.0076339	-0.060883	-0.019314	0.0052174	-0.041702	0	0.0027745	0.20152	0.0068044	-0.86578	-0.0076101	-0.0020732	0.0043812	-0.017136	-0.38347	-0.022195	0	0.016705	-0.55668	0.012237	-0.0011087	-0.010232	-0.013051	0.016146	-0.0048461	0.018663	-0.67453	-0.0076101	-0.080408	-0.86898	
Deletion Peak  7 - CN values	2q37.3  	chr2:230225064-242193529(probes 257831:264535)    	chr2:237482044-237557756(probes 262250:262299)    	chr2:230271576-242193529(probes 257858:264535)    	0.006109	   0.080421		Actual Copy Change Given	0.0114	0.0034687	-0.016314	0.0024969	-0.012442	-0.0058228	0.0020861	-0.019726	-0.77956	0	-0.031768	0.00041593	-0.0022128	0.0009628	-0.14952	0.40661	0.022304	0.0037465	-0.016045	-0.0030475	0	0	-0.29213	-0.0076339	-0.060883	-0.019314	0.0052174	-0.041702	0	0.0027745	0.20152	-0.02384	-0.86578	-0.0076101	-0.0020732	0.0043812	-0.043892	-0.38347	-0.022195	0	-0.029994	-0.55668	0.012237	-0.0011087	-0.010232	-0.013051	-0.0123	-0.0048461	0.018663	-0.012846	-0.010232	-0.01904	-0.0036978	
Deletion Peak  8 - CN values	3q29    	chr3:195428693-196631607(probes 372165:372455)    	chr3:196043168-196590400(probes 372184:372425)    	chr3:192382651-198295559(probes 370426:372613)    	0.0059556	  0.0059556		Actual Copy Change Given	0	0.0070826	0.0013644	0.0025725	0.0052749	-0.0038878	0.010918	0.0024969	-0.01631	-0.0029091	-0.14142	-0.0015243	0.0037506	-0.56127	-0.0041546	0.011818	0.0069435	0.00458	0.0044125	-0.5163	-0.43702	-0.024346	0.04259	-0.072408	-0.042924	0.017963	0.0019418	0.010564	0.0044411	0.023566	0.15188	0.090575	-0.00027724	-0.0016629	-0.0035097	0.0024371	0.0023312	0.0114	-0.79227	0.0092492	0.019083	-0.0026422	-0.0087146	-0.00027724	0	0.0011093	-0.55787	-0.0022168	0.80149	-0.71381	-0.032178	-0.81112	0.0036495	
Deletion Peak  9 - CN values	4q34.3  	chr4:177990720-182139540(probes 472467:474636)    	chr4:180603979-181161702(probes 473837:473841)    	chr4:180175235-181441828(probes 473450:474068)    	0.017706	   0.061252		Actual Copy Change Given	-0.045014	-0.093271	-0.0040385	-0.0047079	-0.018628	-0.0020873	0.0077149	-0.024251	-0.36102	-0.0018014	0.0020805	-0.0094046	-0.0054379	-0.0078863	-0.059942	-0.73328	-0.0099565	-0.21268	-0.020852	-0.0089906	-0.011335	-0.017254	-0.13104	-0.31622	-0.0037395	-0.095384	-0.015604	-0.057654	0.011818	-0.272	-0.19688	-0.047936	-0.0073339	-0.12629	-0.0013806	-0.012635	-0.17501	-0.066452	-0.43007	-0.015237	0	-0.081082	-0.013402	0	-0.034237	-0.005388	-0.090229	-0.021236	0.00027728	0.020488	-0.50152	-0.5356	-0.80937	
Deletion Peak 10 - CN values	4q35.2  	chr4:186719102-187536724(probes 476468:476926)    	chr4:187299756-187507585(probes 476792:476914)    	chr4:185962056-190214555(probes 476001:477115)    	0.0086663	   0.017485		Actual Copy Change Given	-0.045014	-0.093271	-0.0040385	-0.0047079	-0.018628	-0.0020873	0.0050927	-0.024251	-0.36102	-0.0018014	0.0020805	-0.022206	-0.0054379	-0.0078863	-0.059942	0.41597	-0.0099565	-0.21268	-0.020852	-0.0089906	-0.011335	-0.017254	-0.13104	-0.31319	-0.016731	-0.095384	-0.015604	-0.057654	0.011818	-0.272	-0.196	-0.047936	-0.0073339	-0.7977	-0.0013806	-0.012635	-0.17501	-0.066452	-0.45072	-0.015237	0	-0.081082	-0.013402	0	-0.034237	-0.005388	-0.090229	-0.021236	0.00027728	0.020488	-0.55206	-0.53093	0.004483	
Deletion Peak 11 - CN values	5q15    	chr5:45378355-139685564(probes 503477:553224)      	chr5:93407076-102300512(probes 527274:531201)      	chr5:92214400-102257104(probes 526674:531169)      	0.22404	    0.20455		Actual Copy Change Given	-0.0069195	-0.018628	-0.0019622	-0.0026322	0.0023581	0.0017839	0.0025724	-0.00055444	-0.010148	0.0042763	-0.80609	-0.0094046	0.00013084	0.0065262	-0.0012473	0.55815	-0.00013862	-0.0013858	-0.022086	-0.006012	-0.017941	0.0015255	0.0029133	-0.0008316	-0.20074	0.020203	-0.010424	-5.5711e-05	0.0038854	0.0076392	-0.16523	-0.76775	-0.0033243	-0.0071958	0.0054191	-0.0047674	0.02818	0.00083195	0.011261	0.00035564	0.018243	0	-0.0016629	0.00073371	-0.0031991	-0.0013858	-0.011611	-0.0013858	0.008892	0.003474	-0.31902	0.0097276	-0.010496	
Deletion Peak 12 - CN values	6p25.3  	chr6:1608602-2250648(probes 579586:580013)            	chr6:1621170-2176789(probes 579589:579967)            	chr6:1874764-1877723(probes 579779:579780)            	0.063098	   0.061252		Actual Copy Change Given	0.0077783	0.0034687	-0.00057679	0	0.00013863	0.00026838	0.0031277	-0.0053992	-0.0036011	0.067567	-0.14965	-0.0062286	-0.039734	-0.54411	0.0063871	0.015168	-0.53774	0.0023581	0.002052	0.0083351	-0.0042929	-0.0084385	-0.22197	-0.086253	0	-0.0010482	-0.0085766	-0.00069303	0.0058309	0.018523	-0.01354	0.0048579	-0.21255	0.013353	0.0080745	-0.11697	-0.0085964	-0.061958	-0.39897	-0.0013075	0.003191	-0.0094146	0.01336	-0.33768	0.0030522	0	-0.59633	-0.0091286	-0.007472	-0.00054915	0.034113	0.037217	0.017726	
Deletion Peak 13 - CN values	6q26    	chr6:144090971-170805979(probes 661172:677210)    	chr6:160700359-160715452(probes 672275:672282)    	chr6:144496216-170805979(probes 661409:677210)    	0.006109	   0.006109		Actual Copy Change Given	-0.0019399	0.0034687	-0.00057679	0	0	0.00026838	-0.91058	-0.65165	-0.0036011	0.067661	-0.8848	-0.0062286	-0.00055039	-0.54411	0.0063871	0.022865	-0.54391	0.0023581	0	-0.006046	-0.010784	-0.0091414	-0.0040204	0	0	-0.81013	0.0079175	-0.0008316	0.0058309	-0.65127	0	-0.75054	-0.075078	-0.0036011	0.0029185	-0.0064263	0.02621	-0.092345	-0.35476	-0.0013075	-0.87738	-0.16867	-0.0015243	-0.33768	0.0056919	0	0.0093098	-0.0091286	0.0020805	-0.74263	0.038206	-0.82122	-0.76592	
Deletion Peak 14 - CN values	7p22.3  	chr7:1-159345973(probes 677211:759871)               	chr7:1-1945403(probes 677211:677517)                   	chr7:665648-672458(probes 677212:677213)                	0.22565	    0.23308		Actual Copy Change Given	0.06208	0.0033299	-0.00071538	-0.0038779	-0.00041585	-0.0044401	-0.93286	-0.026441	0.75147	0.25374	0.027638	0.86731	-0.00041855	0.55957	0.72395	1.0274	0.52503	0.0027745	0.034648	0.5029	0.68812	-0.061319	0.061508	0.003191	0.054803	0.026373	-0.014778	0.0052749	0.48682	-0.0011087	0.39845	-0.023155	-0.0029091	0.74024	-0.00096497	-0.001307	-0.045087	0.004328	0.0090312	-0.0033845	-0.94496	-0.065591	0.064654	0.34404	0.23721	0.0075	0.01447	0.0034687	0.7057	1.3771	-0.10197	0.83255	0.83437	
